rank,name,nationality,team,points,rider_url
200,TRENTIN Matteo,IT,Tudor Pro Cycling Team,198.0,https://www.procyclingstats.com/rider/matteo-trentin
201,PITHIE Laurence,NZ,Red Bull - BORA - hansgrohe,197.0,https://www.procyclingstats.com/rider/laurence-pithie
202,EEKHOFF Nils,NL,Team Picnic PostNL,197.0,https://www.procyclingstats.com/rider/nils-eekhoff
203,LANGELLOTTI Victor,MC,INEOS Grenadiers,197.0,https://www.procyclingstats.com/rider/victor-langellotti
204,CRAS Steff,BE,Team TotalEnergies,194.0,https://www.procyclingstats.com/rider/steff-cras
205,THOMAS Benjamin,FR,Cofidis,193.0,https://www.procyclingstats.com/rider/benjamin-thomas-2
206,ANIOŁKOWSKI Stanisław,PL,Cofidis,192.0,https://www.procyclingstats.com/rider/stanislaw-aniolkowski
207,CASTELLON Jan,ES,Caja Rural - Seguros RGA,191.0,https://www.procyclingstats.com/rider/jan-castellon
208,ZAMBANINI Edoardo,IT,Bahrain - Victorious,190.0,https://www.procyclingstats.com/rider/edoardo-zambanini
209,DEHAIRS Simon,BE,Alpecin - Deceuninck,188.0,https://www.procyclingstats.com/rider/simon-dehairs
210,ALBANESE Vincenzo,IT,EF Education - EasyPost,188.0,https://www.procyclingstats.com/rider/vincenzo-albanese
211,BRENNER Marco,DE,Tudor Pro Cycling Team,186.0,https://www.procyclingstats.com/rider/marco-brenner
212,BENNETT Sam,IE,Decathlon AG2R La Mondiale Team,186.0,https://www.procyclingstats.com/rider/sam-bennett
213,LOOCKX Lander,BE,Unibet Tietema Rockets,185.0,https://www.procyclingstats.com/rider/lander-loockx
214,GAUTHERAT Pierre,FR,Decathlon AG2R La Mondiale Team,185.0,https://www.procyclingstats.com/rider/pierre-gautherat
215,KIELICH Timo,BE,Alpecin - Deceuninck,183.0,https://www.procyclingstats.com/rider/timo-kielich
216,VAN UDEN Casper,NL,Team Picnic PostNL,182.0,https://www.procyclingstats.com/rider/casper-van-uden
217,GUERIN Alexis,FR,Anicolor / Tien 21,182.0,https://www.procyclingstats.com/rider/alexis-guerin
218,PENHOËT Paul,FR,Groupama - FDJ,180.0,https://www.procyclingstats.com/rider/paul-penhoet
219,BALLERINI Davide,IT,XDS Astana Team,180.0,https://www.procyclingstats.com/rider/davide-ballerini
220,THEUNS Edward,BE,Lidl - Trek,179.0,https://www.procyclingstats.com/rider/edward-theuns
221,RONDEL Mathys,FR,Tudor Pro Cycling Team,179.0,https://www.procyclingstats.com/rider/mathys-rondel
222,DUJARDIN Sandy,FR,Team TotalEnergies,178.0,https://www.procyclingstats.com/rider/sandy-dujardin
223,BLACKMORE Joseph,GB,Israel - Premier Tech,178.0,https://www.procyclingstats.com/rider/joseph-blackmore
224,ROCHAS Rémy,FR,Groupama - FDJ,177.0,https://www.procyclingstats.com/rider/remy-rochas
225,MADOUAS Valentin,FR,Groupama - FDJ,177.0,https://www.procyclingstats.com/rider/valentin-madouas
226,FRIGO Marco,IT,Israel - Premier Tech,174.0,https://www.procyclingstats.com/rider/marco-frigo
227,HERMANS Quinten,BE,Alpecin - Deceuninck,173.0,https://www.procyclingstats.com/rider/quinten-hermans
228,VERCHER Mattéo,FR,Team TotalEnergies,173.0,https://www.procyclingstats.com/rider/matheo-vercher
229,LIVYNS Arjen,BE,Lotto,172.0,https://www.procyclingstats.com/rider/arjen-livyns
230,GALVÁN Francisco,ES,Equipo Kern Pharma,171.0,https://www.procyclingstats.com/rider/francisco-galvan
231,LAPEIRA Paul,FR,Decathlon AG2R La Mondiale Team,171.0,https://www.procyclingstats.com/rider/paul-lapeira
232,SEGAERT Alec,BE,Lotto,171.0,https://www.procyclingstats.com/rider/alec-segaert
233,DOUBEY Fabien,FR,Team TotalEnergies,170.0,https://www.procyclingstats.com/rider/fabien-doubey
234,VAN MOER Brent,BE,Lotto,170.0,https://www.procyclingstats.com/rider/brent-van-moer
235,VENDRAME Andrea,IT,Decathlon AG2R La Mondiale Team,168.0,https://www.procyclingstats.com/rider/andrea-vendrame
236,KOPECKÝ Matyáš,CZ,Team Novo Nordisk,168.0,https://www.procyclingstats.com/rider/matyas-kopecky
237,SIMMONS Quinn,US,Lidl - Trek,168.0,https://www.procyclingstats.com/rider/quinn-simmons
238,MIQUEL Pau,ES,Equipo Kern Pharma,165.0,https://www.procyclingstats.com/rider/pau-miquel-delgado
239,DENZ Nico,DE,Red Bull - BORA - hansgrohe,165.0,https://www.procyclingstats.com/rider/nico-denz
240,GAUDU David,FR,Groupama - FDJ,165.0,https://www.procyclingstats.com/rider/david-gaudu
241,LEKNESSUND Andreas,NO,Uno-X Mobility,162.0,https://www.procyclingstats.com/rider/andreas-leknessund
242,VAN HEMELEN Vincent,BE,Team Flanders - Baloise,162.0,https://www.procyclingstats.com/rider/vincent-van-hemelen
243,MAEKELE Milkias,ER,BIKE AID,162.0,https://www.procyclingstats.com/rider/milkias-maekele
244,GEOGHEGAN HART Tao,GB,Lidl - Trek,162.0,https://www.procyclingstats.com/rider/tao-geoghegan-hart
245,VAN DEN BROEK Frank,NL,Team Picnic PostNL,161.0,https://www.procyclingstats.com/rider/frank-van-den-broek
246,BREUILLARD Nicolas,FR,St Michel - Preference Home - Auber93,160.0,https://www.procyclingstats.com/rider/nicolas-breuillard
